68,54,-267
68,65,-279
59,64,-282
75,51,-275
71,55,-281
67,69,-274
65,65,-282
65,51,-283
78,62,-272
55,64,-276
62,49,-281
58,42,-287
63,61,-275
52,63,-285
69,59,-279
71,62,-285
58,54,-284
71,63,-276
55,57,-284
69,56,-280
67,72,-287
65,60,-281
65,48,-274
73,52,-263
54,58,-286
54,62,-284
61,54,-273
61,62,-276
63,54,-274
53,57,-276
63,67,-284
59,60,-276
60,68,-280
62,57,-282
70,55,-270
72,61,-286
67,54,-274
73,55,-280
46,54,-279
60,54,-289
67,56,-276
73,57,-278
60,62,-291
74,54,-278
53,54,-276
69,59,-291
60,62,-270
64,66,-284
66,48,-276
56,56,-279
72,49,-280
68,55,-274
61,63,-276
60,50,-278
67,58,-281
66,49,-284
68,62,-274
63,62,-262
69,53,-287
67,60,-283
65,48,-275
74,56,-278
71,64,-280
63,63,-284
66,68,-283
78,52,-274
64,57,-279
63,47,-276
67,54,-280
57,52,-273
68,56,-274
57,57,-271
56,60,-279
70,52,-270
75,51,-291
56,46,-277
70,56,-270
72,42,-270
60,60,-287
56,61,-287
65,58,-278
56,64,-266
60,62,-274
57,53,-290
70,60,-271
62,48,-268
65,57,-285
54,60,-280
68,72,-295
60,56,-282
55,53,-283
64,61,-283
63,52,-277
74,56,-286
67,52,-278
62,56,-279
63,52,-283
69,60,-275
70,62,-286
71,52,-286
62,52,-284
66,77,-291
58,65,-282
56,57,-282
58,47,-279
68,67,-275
64,68,-266
55,50,-272
59,65,-285
73,59,-280
70,55,-284
55,52,-274
65,62,-276
60,57,-275
70,58,-285
59,51,-278
64,57,-274
67,56,-277
62,44,-281
61,61,-270
64,60,-267
69,49,-285
55,65,-287
67,63,-288
60,57,-275
67,50,-270
71,54,-265
64,51,-273
66,48,-282
77,56,-286
58,61,-280
52,69,-282
69,44,-286
72,65,-276
66,42,-273
75,63,-281
72,46,-285
70,66,-280
55,47,-284
65,55,-286
60,54,-271
63,60,-296
66,70,-283
70,72,-278
62,54,-287
71,56,-270
70,61,-279
69,57,-286
58,43,-278
71,61,-272
64,72,-275
59,59,-283
52,55,-273
65,65,-283
64,63,-289
61,55,-284
76,61,-286
64,60,-272
73,56,-287
66,54,-277
63,62,-278
72,56,-286
70,51,-282
61,61,-275
58,64,-279
55,63,-288
68,58,-268
66,61,-280
68,70,-278
62,55,-281
54,59,-271
58,50,-279
66,55,-275
52,60,-279
50,40,-285
61,53,-273
63,64,-284
65,57,-296
67,75,-289
63,41,-274
56,75,-274
63,57,-277
63,61,-273
58,60,-281
69,61,-278
67,59,-289
71,58,-267
66,64,-279
64,64,-279
65,65,-285
73,60,-289
58,54,-275
60,72,-288
63,51,-273
56,53,-266
78,69,-290
70,61,-279
59,55,-284
73,65,-290
69,48,-271
69,59,-275
62,60,-284
60,62,-288
69,68,-289
57,58,-281
58,63,-276
63,63,-277
69,70,-276
56,56,-273
55,56,-279
70,56,-279
64,60,-287
55,68,-283
60,57,-269
59,62,-275
55,69,-285
60,59,-281
63,56,-284
66,37,-286
71,55,-282
677,493,-28
2508,3369,18623
-878,-1589,18408
-327,-662,12284
-1911,-2656,5659
-469,-426,436
-327,-330,-290
133,106,-278
578,505,-260
295,-241,-311
-62,-71,-1388
-38,3,-1114
-10,-5,-399
93,-13,534
161,53,-585
166,2,-539
170,-58,555
38,-38,316
10,11,-243
54,99,-297
76,10,-456
99,-29,-541
6,68,-435
6,133,-375
21,132,-394
29,105,-213
55,79,-247
63,64,-354
86,9,-442
61,-86,104
34,-70,185
60,-29,209
37,-39,42
-66,-148,407
-218,-411,933
-1481,-356,886
-2166,-329,608
-1427,-358,760
-1873,-357,1740
-2239,-127,1889
-1952,-29,1607
-1975,-199,1398
-1524,-1107,1424
-533,-1402,1428
139,-1537,1362
-56,-1980,1557
-1857,-1615,1444
-2304,-783,1186
-2014,-344,760
-2381,-506,782
-2553,-884,872
-2131,-1513,756
-2054,-2006,617
-2415,-2258,696
-2801,-2814,513
-1500,-3746,309
62,-4214,-46
1077,-4498,-324
1476,-5123,-538
1851,-5161,-780
1389,-4020,-668
681,-3008,-501
60,-2179,-450
-283,-1833,-468
-937,-2241,-514
-1549,-2297,-374
-1318,-2371,-272
-1371,-1977,106
-787,-2123,106
-492,-3536,46
-2169,-3993,95
-3141,-4157,155
-3281,-4223,301
-3330,-4086,422
-3307,-4219,398
-2510,-4419,341
-606,-4224,423
-1121,-3557,344
-1983,-2638,123
-1782,-2530,137
-878,-3172,195
14,-4035,140
131,-3881,30
-443,-3155,65
-1700,-2344,76
-926,-2612,-77
-166,-3288,-229
-47,-3284,-229
-736,-2648,-194
-1056,-2098,-254
-325,-1850,-707
-261,-1856,-1013
-474,-1775,-1129
-1036,-1879,-899
-1373,-1885,-623
-1271,-1896,-421
-1002,-2099,-426
-1341,-2384,-565
-1116,-2229,-677
-495,-2066,-626
-443,-2209,-634
-322,-2209,-563
-368,-2392,-546
-376,-2749,-445
-162,-3123,-371
952,-4156,-455
1915,-4447,-440
2209,-4104,-387
1209,-3577,-300
1229,-3527,-349
1539,-3383,-414
1002,-1933,-675
930,-877,-819
1713,-1089,-668
3124,-2288,-402
3487,-2977,-337
2404,-2723,-398
1354,-1772,-354
576,-1123,-272
462,-954,-367
732,-977,-326
988,-1145,-351
1266,-1270,-425
1945,-963,-540
2150,-872,-672
2033,-514,-722
2382,-768,-728
2863,-1018,-666
3214,-1048,-741
3717,-862,-847
3516,-820,-922
3015,-781,-842
1985,-759,-800
2173,-833,-826
2419,-709,-916
2860,-448,-964
2451,-401,-923
2110,-439,-869
1905,-516,-711
2025,-719,-569
1992,-590,-516
1936,-402,-631
2797,-319,-810
3336,-824,-782
3614,-1099,-727
4184,-1047,-891
4330,-926,-1043
3918,-623,-1132
3686,-325,-1277
4131,-174,-1490
4469,-387,-1542
4427,-428,-1607
4895,-410,-1573
4982,-544,-1474
4940,-534,-1392
4313,-176,-1217
3112,-36,-1024
2803,-84,-1013
3023,-188,-1103
3205,-113,-1055
3498,-206,-994
3806,-385,-1096
4415,-509,-1275
4723,-760,-1220
5134,-977,-1334
5075,-1096,-1385
5071,-784,-1424
5703,-415,-1427
5080,-491,-1374
4306,-241,-1194
4024,-550,-1194
3535,-852,-1030
3242,-752,-1122
3215,-434,-1444
3039,-482,-1454
3260,-615,-1309
3601,-790,-952
3440,-911,-717
3826,-1176,-665
4659,-1467,-738
4789,-1633,-970
4640,-1708,-979
4453,-1658,-872
4652,-1739,-862
4686,-1771,-820
5085,-1806,-843
5469,-1958,-968
5523,-2100,-967
5373,-2035,-786
4984,-1882,-681
4716,-1592,-721
4132,-1291,-909
3527,-1196,-796
3001,-1146,-801
2556,-908,-951
2454,-874,-949
2677,-1047,-792
2896,-1250,-603
3205,-1347,-553
3338,-1409,-340
3634,-1510,-229
4224,-1593,-404
4396,-1582,-624
4227,-1558,-734
4199,-1675,-742
3941,-1666,-680
3935,-1728,-735
4023,-1806,-748
4529,-2102,-908
4557,-2436,-950
4176,-2393,-784
4645,-2437,-1250
4811,-2632,-1305
3785,-2463,-860
2623,-1983,21
2040,-1833,0
2422,-1839,-1104
2287,-1363,-2206
2138,-1715,-2170
2763,-2719,-2287
2646,-2686,-1569
2107,-2657,-1652
1571,-3356,-1776
602,-3333,-1447
-37,-2947,-1588
152,-3120,-1189
256,-3002,-640
858,-3595,-867
1322,-4349,-1224
1315,-4913,-436
2258,-5900,-12
1881,-5414,579
1477,-4548,488
1519,-4461,626
1392,-4428,1135
1611,-4353,1329
1557,-3826,1152
2058,-3729,762
1855,-3695,1001
1508,-3393,893
1127,-2963,1013
554,-2964,1412
172,-3036,1701
201,-3313,1819
369,-3748,2361
169,-3339,2416
-498,-2799,2020
-1386,-2730,2496
-1912,-2853,2909
-1912,-3040,3337
-2107,-3448,3723
-2558,-3309,3884
-3191,-2783,3855
-3331,-2690,3772
-3536,-3199,4016
-4018,-3003,3980
-6314,-3593,4243
-6566,-3865,4473
-6279,-4605,4449
-5899,-3731,4122
-5974,-3495,3911
-5477,-3236,3753
-4588,-3577,3796
-4185,-3707,3768
-4404,-3075,3234
-4691,-2991,2939
-4516,-3576,3026
-4456,-3212,2903
-4197,-2575,2613
-3619,-2422,2259
-3967,-2224,2211
-4328,-1610,2137
-3858,-1297,1780
-3888,-2573,2209
-3508,-2525,1996
-3830,-1987,1745
-3922,-1875,1987
-4128,-1096,1720
-4031,-811,1486
-4313,-1310,1615
-3924,-1284,1371
-3972,-1460,1239
-4266,-1893,1473
-3684,-2434,1539
-3189,-1927,1349
-2868,-2221,1230
-2985,-1905,1130
-3106,-1531,1149
-3040,-1883,1302
-3239,-1854,1433
-3317,-1716,1312
-3557,-1944,1413
-4063,-1521,1496
-5038,-805,1212
-5529,-397,1048
-5192,-1102,1331
-5324,-1381,1533
-5738,-514,1289
-5872,-499,1244
-5830,-175,1431
-6131,740,1418
-5506,432,1370
-4878,-296,1407
-4287,-910,1169
-3889,-784,1035
-3593,-713,1028
-3473,-401,977
-3146,-152,1027
-2915,129,1208
-2416,-488,1483
-2377,-507,1674
-2365,-342,1905
-2662,431,1884
-2965,565,2317
-3657,626,2663
-4819,789,2450
-4596,527,2451
-4254,605,2154
-4032,754,1861
-4206,491,1879
-3980,468,1730
-3277,398,1255
-2491,686,388
-1877,778,2
-1590,362,-104
-1634,543,-311
-2076,601,-159
-2415,720,366
-3106,1141,656
-3863,1059,1318
-5121,1034,2148
-5448,935,2188
-5440,1165,1979
-5178,1510,1485
-4886,1505,1326
-4816,1263,1402
-4501,1194,1883
-4283,1312,1795
-4506,1348,1815
-5125,1198,2069
-5788,843,2628
-6981,805,3181
-6738,840,2968
-6484,1066,2568
-7000,1696,2329
-7033,1268,2105
-6393,1640,2118
-5795,1547,1751
-4602,1806,1119
-4724,1871,1259
-4619,1770,1155
-3996,1326,1075
-3912,1192,1107
-3646,1134,989
-2955,369,736
-3048,286,679
-3240,247,827
-3049,678,882
-3126,811,919
-3055,537,721
-2723,497,528
-2674,431,343
-2983,543,378
-3346,543,504
-3237,570,666
-3006,575,840
-2998,681,507
-3269,741,411
