22,69,-195,-0.368362,0.035492,0.193519
9,54,-199,-0.575989,0.098697,0.293221
12,60,-208,-2.730041,1.021693,0.173467
11,50,-192,-2.857932,1.030898,0.102463
19,53,-200,2.554013,1.016488,-0.413606
25,56,-200,1.914838,0.849615,-0.670068
18,68,-204,1.159971,0.437515,-0.690266
13,62,-195,0.969107,0.329451,-0.623521
19,58,-194,0.76964,0.235902,-0.554443
9,54,-199,0.579152,0.169548,-0.464026
22,54,-196,0.237152,0.101005,-0.272724
8,52,-209,-0.405738,0.14273,0.118541
3,60,-191,-0.588463,0.206347,0.228734
11,51,-191,-0.790161,0.292196,0.324849
14,59,-194,2.946164,1.139301,-0.239623
9,61,-204,2.133991,1.024004,-0.662642
13,70,-194,1.431237,0.718994,-0.793399
16,47,-197,1.236554,0.60398,-0.754648
13,59,-208,1.064485,0.481764,-0.701119
16,61,-202,0.886266,0.363535,-0.632638
25,54,-194,0.687408,0.293338,-0.553007
21,53,-204,0.509415,0.222969,-0.435265
6,50,-200,0.319938,0.189841,-0.306177
24,51,-189,-0.166645,0.185864,-0.007099
25,61,-209,-0.357364,0.224678,0.103107
26,55,-211,-0.842243,0.410618,0.390188
15,56,-205,-0.895635,0.438786,0.414212
12,50,-191,-1.081658,0.52712,0.493914
27,52,-187,-1.864449,0.958877,0.538412
19,52,-201,-3.062012,1.187586,-0.081158
7,54,-198,3.062837,1.186876,-0.186624
16,48,-206,2.185082,1.062094,-0.660268
25,56,-204,1.031255,0.467217,-0.669211
13,57,-196,0.842796,0.369582,-0.593031
7,52,-208,0.660133,0.28886,-0.496652
22,60,-198,0.473762,0.218217,-0.388257
20,56,-209,0.280254,0.16665,-0.275119
12,53,-210,-0.347662,0.163757,0.090604
19,53,-200,-0.54293,0.207461,0.200388
26,50,-190,-1.054076,0.44695,0.42904
13,48,-191,-1.831212,0.882397,0.505028
25,34,-196,-2.964915,1.132094,-0.02846
23,51,-200,-3.093308,1.136458,-0.104479
27,63,-200,2.327705,1.049571,-0.585977
24,67,-206,1.752387,0.834763,-0.760782
27,53,-198,1.52582,0.715813,-0.786364
7,52,-203,1.324794,0.594375,-0.76704
21,48,-184,1.137183,0.485101,-0.714018
23,52,-201,0.948649,0.400791,-0.646378
12,48,-203,0.780285,0.317459,-0.548199
19,52,-200,0.597673,0.249317,-0.440942
19,56,-194,0.396307,0.193645,-0.335197
8,62,-200,-0.216015,0.170566,0.068706
18,57,-206,-0.397871,0.200658,0.182134
21,53,-200,-0.590141,0.277562,0.287123
12,54,-193,-2.066765,1.021185,0.518977
10,57,-199,2.97392,1.175318,-0.135932
17,41,-193,2.835529,1.158089,-0.219467
22,60,-194,2.054908,1.023983,-0.59632
11,51,-190,1.418746,0.705429,-0.66058
4,58,-206,1.223749,0.579352,-0.62414
26,44,-189,1.0335,0.482044,-0.556482
17,56,-205,0.857075,0.391272,-0.47914
21,56,-194,0.663097,0.304774,-0.396853
12,66,-199,0.485757,0.237578,-0.285872
13,52,-197,0.306373,0.193157,-0.164469
20,61,-192,-0.949409,0.464182,0.548965
20,62,-197,-2.559243,1.1904,0.368871
23,49,-184,-2.705423,1.199871,0.283901
9,64,-204,2.501314,1.17056,-0.39854
19,59,-197,1.808361,0.948742,-0.670188
19,70,-196,0.643201,0.288752,-0.424627
27,68,-196,0.450964,0.21514,-0.307848
34,48,-198,0.248262,0.176564,-0.18863
14,57,-204,-0.365017,0.171724,0.195639
17,41,-198,-0.559143,0.226551,0.312277
24,53,-196,-0.6184,0.247231,0.342968
11,71,-209,-0.805956,0.330976,0.443537
24,64,-196,-1.302275,0.62051,0.65037
19,54,-203,-1.725014,0.865647,0.686738
24,55,-194,-2.689266,1.1474,0.330841
