96,314,214,21
96,329,212,41
94,315,229,61
96,325,228,81
92,328,230,101
94,314,228,121
89,318,232,141
101,327,219,161
91,327,225,181
80,342,221,201
95,328,220,221
91,332,225,241
82,320,232,261
99,330,220,281
97,324,226,301
89,331,222,321
103,333,221,341
89,326,225,361
98,325,228,381
97,338,220,401
94,327,212,421
102,332,219,441
104,323,228,461
90,329,228,481
100,335,211,501
88,325,226,521
92,337,230,541
99,329,232,561
86,331,235,581
89,345,232,601
95,335,224,621
104,330,216,641
81,325,220,661
90,326,219,681
91,324,216,701
86,332,217,721
86,325,226,741
85,331,226,761
84,333,223,781
103,337,221,801
103,326,229,821
90,319,219,841
96,327,214,861
87,322,225,881
80,336,225,901
95,330,222,921
85,330,220,941
83,336,226,961
92,330,223,981
98,332,230,1001
94,333,216,1021
92,322,226,1041
80,335,226,1061
93,332,223,1081
88,327,222,1101
95,320,216,1121
73,329,219,1141
94,332,214,1161
79,331,225,1181
98,325,219,1201
87,325,213,1221
93,323,211,1241
95,315,225,1261
104,324,215,1281
89,314,231,1301
102,332,231,1321
94,319,229,1341
92,334,225,1361
87,322,219,1381
88,335,213,1401
81,327,230,1421
92,333,227,1441
86,334,217,1461
88,321,233,1481
100,328,211,1501
94,331,235,1521
94,325,222,1541
96,338,218,1561
88,338,234,1581
97,332,234,1601
99,327,222,1621
103,329,227,1641
68,330,228,1661
101,320,217,1681
94,319,217,1701
87,316,222,1721
92,340,219,1741
95,314,226,1761
94,323,224,1781
105,323,221,1801
105,317,225,1821
98,324,226,1841
85,324,224,1861
95,331,223,1881
92,320,222,1901
94,333,218,1921
92,319,228,1941
94,323,232,1961
89,328,222,1981
93,326,216,2001
98,334,217,2021
109,332,219,2041
98,315,218,2061
92,328,219,2081
98,328,229,2101
101,319,229,2121
90,330,222,2141
101,322,225,2161
81,333,225,2181
91,325,213,2201
106,326,220,2221
95,327,228,2241
90,318,224,2261
89,334,225,2281
86,320,223,2301
96,331,231,2321
90,327,225,2341
97,331,227,2361
109,334,221,2381
91,334,218,2401
88,334,225,2421
93,316,226,2441
93,321,223,2461
89,329,229,2481
88,328,229,2501
98,322,224,2521
92,325,230,2541
101,334,215,2561
89,339,230,2581
91,325,224,2601
78,332,222,2621
76,311,218,2641
84,312,222,2661
96,337,215,2681
82,314,218,2701
98,319,222,2721
94,327,235,2741
83,325,221,2761
98,324,223,2781
91,328,215,2801
87,321,226,2821
91,320,220,2841
103,329,223,2861
91,325,232,2881
81,343,223,2901
95,329,215,2921
96,334,222,2941
93,336,230,2961
83,329,221,2981
96,330,223,3001
75,327,218,3021
95,333,216,3041
91,341,232,3061
97,334,211,3081
108,319,224,3101
101,334,213,3121
102,320,226,3141
96,325,223,3161
93,321,211,3181
107,335,220,3201
85,333,224,3221
89,316,229,3241
85,331,220,3261
98,319,234,3281
95,332,231,3301
85,322,225,3321
86,340,216,3341
86,339,212,3361
88,328,224,3381
85,312,221,3401
90,329,218,3421
86,325,225,3441
103,328,226,3461
102,328,214,3481
94,335,213,3501
90,330,215,3521
97,331,221,3541
100,338,235,3561
101,330,236,3581
98,339,220,3601
94,321,217,3621
101,332,207,3641
90,329,209,3661
95,333,222,3681
93,315,226,3701
96,322,231,3721
102,321,233,3741
92,327,219,3761
96,318,218,3781
96,325,226,3801
89,313,222,3821
97,326,225,3841
104,330,221,3861
93,324,214,3881
102,325,227,3901
102,323,230,3921
